text,sentiment,Time of Tweet,Age of User,Land Area (Km²),Continent,Density_Level,Population_Group
"for some strange reason, `paranoid` sounds like U2. but i love them too, so it`s aaaaall good.",positive,morning,46-60,622980.0,AF,Low,Medium
Problem with my must do list is: once I write it I usually forget where I`ve placed it...1st thing on my to do list--find my to do list,negative,morning,0-20,9388211.0,AS,Medium,High
"Headache is gone,thank god!Time for tea i think",positive,noon,21-30,1109500.0,SA,Low,Medium
"right im off for a shower my little treasures, ill see you later on",positive,night,31-45,1861.0,AF,Medium,Low
"  haha, i was crying  ****",negative,morning,46-60,342000.0,Other,Low,Medium
Neil just picked me up for the show. My tailights out  cause of heartless hit and run.,negative,noon,60-70,51060.0,NA,Low,Medium
Sitting in Gatwick- going home for a week! cant wait to see family,positive,night,70-100,23180.0,AF,Low,Low
Having fun  With my friend !,positive,morning,46-60,995450.0,AF,Medium,High
"this sucks i`m tweetless...and i f`n hate money, why does it have to be an issue",negative,noon,60-70,20720.0,NA,Medium,Medium
Happy Mothers Day Everybody!!!!!!,positive,night,70-100,28050.0,AF,Low,Medium
Oh Mother - Christina Aguilera. Happy Mothers` Day to all the mamas!  ilovemymommy! <3,positive,noon,60-70,18270.0,OC,Low,Low
_Guy Just like me )))) No i must confess one dark side of me is that i can be sometimes stubborn + iÃ¯Â¿Â½m a little morning grouch,negative,night,70-100,304000.0,EU,Low,Medium
 i cant wait to see you guys @ hq on sunday!!,positive,morning,0-20,547557.0,EU,Medium,Medium
_MCR  yeahh me tOo haha the mine is Mariel  i luv it! and the urs tOo =D  whats ur fav MCR song??,positive,night,31-45,10120.0,AF,Medium,Medium
 I wish the photos on your site were bigger,negative,morning,46-60,69490.0,AS,Low,Medium
http://twitpic.com/66vdn - I miss my babyyy,negative,noon,60-70,348560.0,EU,Medium,Medium
Is wondering why my messages aren`t going anywhere ;( I am trying to learn how to tweet & it isn`t turning out so hot,negative,night,70-100,227540.0,AF,Medium,Medium
 that`s cool! i think del`s going to korea same time as you! have fun!,positive,morning,0-20,128900.0,EU,Low,Medium
 i hav a bet to get a 6 pack in 35 days...im on day 3..it sux,negative,noon,21-30,340.0,NA,Medium,Low
  cheap and good system  http://bit.ly/Fgl2Y,positive,night,31-45,107160.0,NA,Medium,Medium
argh! my embouchure= FAIL! makes me sad,negative,morning,46-60,246000.0,AF,Low,Medium
totally addicted to xbox carcassonne.  i also really love tomb raider legend.  and still badly NEED bolt.,positive,noon,60-70,28120.0,AF,Low,Medium
Having a boo-hoo day. Things just suck today,negative,noon,21-30,0.0,Other,High,Low
"Crisis averted!  Phew! On a different note,  and ....you guys are making me so proud! tear!  wish i could have joined",positive,night,31-45,111890.0,NA,Low,Medium
 you fail. at life.,negative,morning,46-60,90530.0,EU,Medium,Medium
 You geek!,negative,noon,60-70,100250.0,EU,Low,Low
 Great!,positive,night,70-100,2973190.0,AS,Medium,High
 yeah! Love my Hawaiian outfit. We reused that for rugby 7 this year with ,positive,noon,21-30,1630000.0,AS,Low,Medium
can u believe the architect who planned a tar-black promenade in this small town won an international prize?and everyone who walks & jogs,positive,night,31-45,434320.0,AS,Low,Medium
 http://twitpic.com/4wsk3 - too cute,positive,morning,46-60,68890.0,EU,Low,Medium
 Twitter`s being mean w/ the pics lately! Stole mine for an entire day!,negative,night,70-100,294140.0,EU,Medium,Medium
My TweetDeck is languishing in API Hell. Again.,positive,noon,21-30,364555.0,AS,Medium,High
What a bad day!,negative,morning,46-60,2699700.0,AS,Low,Medium
Yay! Bannerbomb for the Wii is finally out. I can run homebrew on my 4.0 Wii.,positive,noon,60-70,569140.0,AF,Low,Medium
"I swear, now my dog is having anxiety issues.",negative,noon,21-30,191800.0,AS,Low,Medium
_ Lmao I know!! They have two days off. Good thing for them,positive,night,31-45,230800.0,AS,Low,Medium
Beautiful monday morning  so happy  http://myloc.me/tCt,positive,morning,0-20,96320.0,AF,Low,Medium
: cool that you liked germany and the awards! i saw you on TV cause i couldn`t come to the comet and see you live  xoxo,positive,noon,21-30,1759540.0,AF,Low,Medium
 love those ****,positive,night,31-45,160.0,EU,Medium,Low
Is getting upset at work cus bindz and j are being bullies  and they won`t let me go duty free shopping!,negative,noon,60-70,2590.0,EU,Medium,Low
has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&d this sat ...is a sad panda,negative,night,70-100,581795.0,AF,Low,Medium
so wanted to go to the Basshunter concert tonight.  so so so wanted to.,positive,morning,0-20,94280.0,AF,Medium,Medium
has a tummy ache.,negative,night,70-100,180.0,OC,Medium,Low
I`m Kinda sleepy.. I Was up too late texting a nice boy making date plans for next weekend..,positive,noon,21-30,2030.0,AF,High,Medium
500! updates! wooow!! haha!!,positive,morning,0-20,1553560.0,AS,Low,Medium
Having one of my bad days....Migraine today. My 1st since my neck surgery about 2 1/2 months,negative,noon,21-30,13450.0,EU,Low,Low
"'No offense, but your hair is bad today.' Life isn`t worth living anymore   Nothing hurts quite like hair insults. *cries into pillow*",negative,morning,46-60,786380.0,AF,Low,Medium
Found out that one great thing about living in Switzerland is the delicious bread - sometimes little things can make a difference,positive,night,70-100,823000.0,AF,Low,Medium
i am having serious problems concentrating on this press release this afternoon...i have sleepy eyes right now,negative,morning,0-20,20.0,OC,High,Low
 wow thanks for saying that man! I`d love to illustrate children`s books!,positive,night,31-45,33720.0,EU,High,Medium
 is it bad that I sort of want her to miss me?  I know I will be missing her.,negative,morning,0-20,910770.0,AF,Medium,High
 One of the fake 'you's followed me. Haha. I so wish it would be you instead!,positive,morning,46-60,365000.0,EU,Low,Medium
 sorry about that,negative,night,70-100,770880.0,AS,Medium,High
I want the rain to go away! There has been too much of it lately,negative,morning,0-20,460.0,OC,Low,Low
 and again - You`re welcome!,positive,noon,21-30,6020.0,Other,High,Medium
"Hi, is anybody else having problems with the Karma site? It`s not working.",negative,night,31-45,74340.0,NA,Low,Medium
Shots suuuuck!  im done  no more vacines!,negative,morning,46-60,452860.0,OC,Low,Medium
 thank you very much!!!,positive,morning,0-20,298170.0,AS,Medium,High
 cambs will be better im sure! eeeeeeeeee under a week now  we meeting on the Sunday?,positive,noon,21-30,306000.0,EU,Medium,Medium
 Yup I stayed until the very very end  Exciting!,positive,night,31-45,91590.0,EU,Medium,Medium
 yea i just got outta one too....i want him back tho  but i feel the same way...i`m cool on dudes for a lil while,positive,morning,46-60,11610.0,AS,Medium,Medium
"Happy Mother`s day to allMothers, Cheers!!",positive,night,70-100,16376870.0,EU,Low,High
"Bad day!  Work`s TOO stressful...been involved in a minor accident, but everything`s ok so far. Have to cut down immediately!",negative,morning,46-60,390.0,NA,Medium,Low
" hilarious. so if she acts up, all you have to do is say 1 little word...'gummed up' grosses me out; hub says it 2 torment",positive,noon,60-70,2830.0,OC,Low,Low
" Would you travel to the UK for one?  The big US meets sound great, I`d love to go to one of those, so many furs & so much art",positive,night,70-100,60.0,EU,High,Low
 glad u liked post  looking at the back end now...the sub 2 your blog is automatic. send url and i`ll verify.,positive,morning,0-20,960.0,AF,Medium,Low
 Well thank you darling...it was a pleasure shopping with you...you will see the first pics!,positive,night,31-45,192530.0,AF,Low,Medium
Just updated #Tweetie and open in browser is still broken.,negative,noon,60-70,460.0,AF,Medium,Low
Oh no adult school again,negative,morning,0-20,700.0,AS,High,Medium
 love watching your yt videos and am really looking forward to seeing the collection vid,positive,noon,21-30,48088.0,EU,Medium,Medium
happpppy mothers day,positive,night,31-45,20140.0,EU,Medium,Medium
is tired if ppl **** talking,negative,morning,46-60,28000.0,OC,Low,Low
 lol  ****...I love those things too,positive,noon,60-70,627340.0,AF,Low,Medium
Took a short nap now Im ready for work. My sun burn hurts,negative,night,70-100,1213090.0,AF,Low,Medium
 Sounds Fun!,positive,noon,21-30,610952.0,AF,Low,Medium
"My industrial is repierced, and I made a cute little friend",positive,night,31-45,498800.0,EU,Low,Medium
"_the_game GIRL!  Work it! Hope you had the Slammer, and had fun with the Moldovan! I want to hear details!!!",positive,noon,21-30,39500.0,EU,Medium,Medium
"Dear Mr. President: Please TALK TO US abt what you plan to do re: DADT. Because right now, you just look like a liar.",negative,night,31-45,183630.0,AS,Low,Medium
": what a cute pic of the girls, and so vibrant.  I didn`t get anything cpeven close.",positive,morning,46-60,139960.0,AS,Low,Medium
Sunburn on my knees,negative,night,70-100,510890.0,AS,Medium,Medium
_lopez I love you  kiss me!,positive,morning,0-20,14870.0,Other,Low,Medium
 Aw poor you..ironing! Eek! lol It`s raining here too.....prob try and get out with the kids later..nt too exciting im afraid!,negative,noon,21-30,54390.0,AF,Medium,Medium
Happy Mother`s day to all beautiful mother. May your love shines the world  Thank you mum.....,positive,night,31-45,720.0,OC,Medium,Low
Oh tonight... Looking forward to it,positive,noon,60-70,155360.0,AF,Low,Medium
I do hope many of my new followers are from around Sydney Australia  Welcome to my tweets anyway.,positive,morning,0-20,469930.0,AS,Low,Medium
" Yeah, that lying in bed thing`s a bugger for blocking creativity  Worse if you`re pinned down by a pet cat, apparently...",negative,morning,46-60,579320.0,EU,Low,Medium
Ha I got another #followfriday. take that ! oh... your listed too... thanks a lot  ya jerk.,positive,noon,60-70,83600.0,AS,Medium,Medium
 When oh when are you coming back for a gig in Scotland? I had tickets to see u last year but was in hosp wit gallstones!,negative,noon,21-30,175020.0,SA,Low,Medium
" Michelle, I slept for 11 hours last night. I`m still stick with this fever.",negative,night,31-45,425400.0,AS,Low,Medium
 ok.... tx  it`s so worth the wait! lol...***,positive,morning,46-60,12200.0,OC,Low,Low
 Morning babe!  I plan on overdoing it today! lol Hope you do rest & put your feet up! xxxx,positive,night,70-100,310070.0,AS,Medium,Medium
hoping it will rain again because it`s sooo warm,positive,morning,0-20,527970.0,AS,Low,Medium
" I know. I want it to come bec I`m excited, but then I don`t bec it`s gonna go by so fast & then it will be over",positive,noon,21-30,743390.0,AF,Low,Medium
"Getting ready to go to sleeep! Grinding early in the morning! Yay, money!",positive,night,31-45,386850.0,AF,Low,Medium
"Oh man, there are dead deer everywhere in michigan.",negative,morning,46-60,652860.0,AS,Low,Medium
" Yeah, it`s work. It`s been busy all day and I`m tired and hungry.",negative,noon,60-70,27400.0,EU,Medium,Medium
 A pues bien small world small world. yo amo a la chiquita esa. she is such a great friend.,positive,night,70-100,2381740.0,AF,Low,Medium
 You`re welcome,positive,night,31-45,440.0,NA,Medium,Low
http://twitpic.com/66ydb -  I made sure you got credit at the end of the book...I`m sure I forgot people though.,negative,morning,46-60,2736690.0,SA,Low,Medium
recapping on britains got talent. britain seems more talented than america,positive,noon,60-70,28470.0,AS,Medium,Medium
_juansimon God I`m bored. Wish we could`ve done something 2night!,negative,night,70-100,7682300.0,OC,Low,Medium
  i can`t vote for  her i`m #frustraded  :@,negative,noon,21-30,82658.0,AS,Medium,Medium
Loves Miley`s song The Climb and loves the video  ****,positive,night,70-100,430.0,NA,High,Low
 Cool. You should qik some stuff from the newsroom sometime. LOL.,positive,noon,21-30,30280.0,EU,Medium,Medium
 Not swine flu I hope! Take care of your health mate  Tell me about your business derek_bell.com,positive,morning,46-60,112760.0,AF,Medium,Medium
Last night I had 1/2 a bottle of wine in my house and 2 cocktails. Came home sober but still gonna be sick,negative,night,31-45,8358140.0,SA,Low,High
 it was a great wedding! the band was awesome (they played a ton of great 80`s songs) as was the food!,positive,morning,46-60,5270.0,AS,Low,Low
A message from  Could you let people know I have been booted off,negative,noon,60-70,108560.0,EU,Low,Medium
" I know. I think I`m going to have to miss it, though.  This is when sacrificing money for job happiness sucks ****.",negative,noon,21-30,318000.0,AF,Low,Medium
"BGT was just amazing tonight, and threee amazing acts got sent home",positive,night,31-45,4030.0,AF,Medium,Low
"Almost fell asleep under the hair dryer  so tired, feel like I`m going to puke",negative,morning,46-60,176520.0,AS,Low,Medium
" I hope u enjoyed it and your back is now feeling much more better  God,its 1:20am...heading to bed  God..too late..good night",positive,night,70-100,9093510.0,NA,Low,Medium
"Sitting in Mrs. Martins class, youtube is being stupid. and i REALLY want a popsicle!!! jealous of Sara",negative,morning,0-20,622980.0,AF,Low,Medium
" but its pretty at least, I think I need to catch some sleep soon though",positive,noon,21-30,1259200.0,AF,Low,Medium
" the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house",negative,night,31-45,743532.0,SA,Low,Medium
 omg I`m so sorry to hear that!  If you really need to talk to someone I`m always on here. I`m a shoulder you lean on,negative,morning,46-60,9388211.0,AS,Medium,High
just about to say goodbye to  and  two of the best interns that Elevate have ever had,positive,night,70-100,1861.0,AF,Medium,Low
 *hugs*  still feeling poorly are you,negative,noon,21-30,51060.0,NA,Low,Medium
 Thank you so much,positive,night,31-45,55960.0,EU,Low,Medium
ughhh have a tummy ache,negative,morning,46-60,106440.0,NA,Medium,Medium
" Trickery?  No, just exasperation at seeing **** Pride hijacked by a politics bigger and uglier then anything it`s meant for",negative,noon,60-70,9240.0,AS,Medium,Medium
Roxie is not feeling very well  http://apps.facebook.com/dogbook/profile/view/6878284,negative,night,70-100,77240.0,Other,Medium,Medium
Hey had some fun with friends !!!!!Now cleaning,positive,noon,60-70,48300.0,NA,Medium,Medium
 and the habitat is twitter-active. Neat,positive,night,70-100,248360.0,SA,Low,Medium
Photo: hannahisdead: omg i wanna read Pride and prejudice and zombies fuckyeah zombies  http://tumblr.com/xol1qyw8v,negative,noon,60-70,42390.0,EU,Low,Medium
" - Me. because my ex boyfriend of 2 years (we broke up 2 months ago) is engaged to his gf of 6 weeks.  sad, embarrassed. Hug?",negative,night,70-100,17200.0,Other,Low,Medium
Irony: Inventor of Ford Mustang can`t keep his car   http://tinyurl.com/lpmvtk via :,negative,noon,21-30,18270.0,OC,Low,Low
is in the middle of the Irish sea... with absent elk brothers.  Newcastle here we come.  we love Newcastle,positive,night,31-45,304000.0,EU,Low,Medium
" Thank you! Your makeup art is top-notch, come to my house every morning! ha ha",positive,noon,60-70,257670.0,AF,Low,Medium
 I do NOT. I RARELY dye it at all.  the red was the first in aaaagggessss. My hair just hates me.,negative,night,70-100,10120.0,AF,Medium,Medium
Missing  from BKK na.,negative,morning,0-20,69490.0,AS,Low,Medium
i think my ipod is sick  it doesn`t want to connect to any wi-fi . . .,negative,noon,21-30,348560.0,EU,Medium,Medium
Great dinner and great friends! Follow ! She is my cupcake,positive,night,31-45,227540.0,AF,Medium,Medium
has toothache,negative,morning,46-60,128900.0,EU,Low,Medium
 i might have been a child but i was NEVER one of THOSE .....and i`ve already apologised to you for it,negative,night,31-45,196850.0,SA,Low,Low
_ndo OMG I`m so sorry. I`m the worst employee ever. My hard drive just failed taking the survey data with it,negative,morning,46-60,27560.0,NA,Medium,Medium
"1am, quietly tidying up after dinner party. Whilst closing tupprwre lid, centre island in my kitchen collapses! Wakes baby. Mayhem ensues",negative,noon,60-70,0.0,Other,High,Low
 They don`t let the queer boys donate blood.,negative,night,70-100,111890.0,NA,Low,Medium
Morning Tweethearts! Now home after traveling 302 mi.thru 2 states & 2 faires in 3 days. So inspired! Ready to write as I enjoy coffee.,positive,noon,21-30,100250.0,EU,Low,Low
"omg, my right hear us blocked and it`s so annoying. what i i wake up deaf?",negative,morning,46-60,1811570.0,AS,Medium,High
"I want to become vegetarian, It`s going to be so hard!",negative,noon,60-70,1630000.0,AS,Low,Medium
 i wish i could meet you once  do u think this will happen someday? :`(,negative,night,70-100,434320.0,AS,Low,Medium
" LMFAO. omgosh when i first heard that song with you,i felt like i was gonna pee myself, OMGOSH THE WALTZER MAN!  lol xoxo",negative,morning,0-20,68890.0,EU,Low,Medium
i HATE U.S. history,negative,noon,21-30,21640.0,AS,Medium,Medium
 for nearly a month!!  So exciting,positive,night,31-45,294140.0,EU,Medium,Medium
 Thanks  Will Do,positive,noon,60-70,364555.0,AS,Medium,High
GM Tweeters! Happy Mother`s Day to the mothers and pretend mothers out there!,positive,night,70-100,88780.0,AS,Medium,Medium
"nope, san leandro marina.    how are you?  hope you`re well!",positive,noon,21-30,569140.0,AF,Low,Medium
"Holy **** it`s super sunny, Friday and Whitsun, my tube is deeeesearted. Wish I was in the park",negative,night,31-45,810.0,OC,Medium,Low
is frustrated by twitter...my picture will not load.,negative,morning,46-60,17820.0,AS,Medium,Medium
cutting hair allll day  wish i was outside,negative,night,70-100,230800.0,AS,Low,Medium
I wish I could go to the Love Music Hate Racism gig this weekend   I`m not in the right part of the world even,negative,morning,0-20,62200.0,EU,Low,Medium
Dangit...cuz of this weather the house painting is going to be dragged out till next week.,negative,night,31-45,30360.0,AF,Low,Medium
I`ve got great expectations of tomorrow  It`s gonna be awesome!! ? http://blip.fm/~5jf53,positive,noon,60-70,1759540.0,AF,Low,Medium
_Willhoit Hoping your A/C is being fixed right now for you!,positive,morning,0-20,62700.0,EU,Low,Medium
Well school`s finally over and idk but I`m sad  I`ll miss my teachers. Goodbye Mrs R. and Mr. Collister,negative,noon,21-30,2590.0,EU,Medium,Low
rblpnBro  Not quite where I need to be here ... sad but true. Soon however all will be WELL  6wks ? http://blip.fm/~5z4ve,negative,noon,60-70,328550.0,AS,Low,Medium
 Not doing single ones 2day...beat  lol but would say ...ur as creative bright and fun as ur avatar with warmth+ depth #ff,positive,morning,0-20,1220190.0,AF,Low,Medium
 Thats ok  Yeah I had a good night thanks. Glad you did too. Hope you enjoy your BBQ,positive,noon,21-30,320.0,EU,High,Low
 good morning from Lincolnshire. I could use some exercise also,positive,morning,46-60,1030700.0,AF,Low,Medium
Sunrise by Blvd East is awesome. Now to get some sleep. YAY!!,positive,night,70-100,1943950.0,NA,Low,High
Why am i even trying to go to sleep. Its 28c in here. I miss the cold winter nights,negative,morning,0-20,700.0,OC,Medium,Low
aleesha`s piggy died  she can`t catch a **** break man,negative,noon,60-70,13450.0,EU,Low,Low
" Thanks, but the Elance course is not mine! It`s .",positive,morning,0-20,786380.0,AF,Low,Medium
" Thank you, Judy! Same back at you!",positive,night,70-100,33720.0,EU,High,Medium
now we are cuddling.  girl cuddles are so fun and soft,positive,morning,0-20,263310.0,OC,Low,Medium
lmao im stupid just felt like sayin tyaÃ¯Â¿Â½ in my red caf vioce..nite ya`ll,negative,night,31-45,1266700.0,AF,Low,Medium
 It`s been interesting today... to say the least. Overall a good day,positive,morning,0-20,365000.0,EU,Low,Medium
 - don`t feel bad. I got a foad for a promotion here too.,negative,noon,21-30,309500.0,AS,Low,Medium
" u go Mariah,never listen to the haters  I have been a fan for so long and am so grateful for ur music. Can`t wait 4 the album",positive,night,31-45,770880.0,AS,Medium,High
Just found out my Abuelo in Aguadilla is not doing well,negative,morning,0-20,452860.0,OC,Low,Medium
 I love your show! I`ve subscribed and following your tweets. Can`t wait to see more,positive,noon,21-30,397300.0,SA,Low,Medium
" hi hun!!  i really loved your tutorial yday!  soooo much, it was one of the best tutorials i had watched in a long time!  ****",positive,night,31-45,1280000.0,SA,Low,Medium
 Ahhhh \you are soo smart  Thanks for this schooling of thoughts  Have you taught before?,positive,morning,46-60,298170.0,AS,Medium,High
Got 5 new followers yesterday! Yay  Just need 11 more til 50,positive,noon,60-70,306000.0,EU,Medium,Medium
ok shopping was far too fun ~ unpacking the bags now,positive,night,70-100,91590.0,EU,Medium,Medium
X-men movie was pretty good. Kinda predictable @ points but good action sequences,positive,night,31-45,16376870.0,EU,Low,High
Just signed up on Twitter! yay!,positive,morning,46-60,24670.0,AF,High,Medium
why won`t the kids sleep,negative,noon,60-70,260.0,NA,Medium,Low
Been working so hard - its a drag not having time to tweet.!,negative,night,70-100,610.0,NA,Medium,Low
another song that  makes me cry and cry all day  and night long.,negative,morning,0-20,390.0,NA,Medium,Low
tell chris to stop making fun of lizzie,negative,morning,46-60,960.0,AF,Medium,Low
 oh good luck on the movie,positive,night,70-100,192530.0,AF,Low,Medium
sorry my bad.,negative,noon,21-30,460.0,AF,Medium,Low
" Tom! Do a tour in the Philippines, please?  That would be so awesome!",positive,noon,60-70,48088.0,EU,Medium,Medium
some of my new followers are pretty cool peeps; check `em out.,positive,night,70-100,20140.0,EU,Medium,Medium
 that sucks.,negative,morning,0-20,28000.0,OC,Low,Low
FML still awake  melatonin not working!,negative,morning,46-60,97230.0,AS,High,Medium
Dang my own LDBF didnt give me a Follow Friday shot out,negative,noon,60-70,610952.0,AF,Low,Medium
  they r the most random things that my mind can churn..as the Chennai heat gets to me I can assure u these will b more often.,negative,night,70-100,498800.0,EU,Low,Medium
 i was so close to the tacos...one spot too late,negative,morning,0-20,62710.0,AS,Medium,Medium
_StrayCat I sorry!!  Me no like when people I like don`t feel well. Your tummy?,negative,night,70-100,183630.0,AS,Low,Medium
"I have to say, I find it very hard selling on etsy.... sometimes discouraging",negative,noon,60-70,54390.0,AF,Medium,Medium
 meh! You should try the one on commercial drive with all the cats,negative,morning,0-20,5130.0,NA,Medium,Medium
 What are you confused about?,negative,noon,21-30,155360.0,AF,Low,Medium
"lol simpsons S20E19: 'first day at your new school, so lisa: have fun!   and bart:  DON`T!'",positive,night,31-45,770000.0,AS,Medium,Medium
Being attacked with cola..... all sticky,negative,morning,46-60,469930.0,AS,Low,Medium
 i like it,positive,night,70-100,199810.0,AF,Medium,Medium
okay the new jonas episode was awesome,positive,noon,21-30,83600.0,AS,Medium,Medium
Good morning everybody !!,positive,night,31-45,241930.0,EU,Medium,Medium
I feel like crying! One of my diamond earrings fell out my ear bc it was loose and I can`t find it. I`ve had them forever,negative,morning,46-60,9147420.0,NA,Low,High
is traumatized and saddened by the 2 baby squirells she just found on abandoned on the sidewalk.,negative,noon,60-70,175020.0,SA,Low,Medium
****. It`s raining again,negative,noon,21-30,882050.0,SA,Low,Medium
http://twitpic.com/54khn - I am very sad. They cut down my Pink Tree. I noticed it when I left today to get Betos,negative,noon,60-70,743390.0,AF,Low,Medium
 Love the unique accordion thief buffs - thank you!,positive,night,70-100,386850.0,AF,Low,Medium
Craving munchkins so bad.,negative,morning,0-20,652860.0,AS,Low,Medium
_gurl woot,positive,noon,21-30,27400.0,EU,Medium,Medium
I`m gettin ready for my trip back to MA...  I don`t wanna leave!,negative,morning,46-60,470.0,EU,Medium,Low
_xox ur really smart,positive,noon,60-70,1246700.0,AF,Low,Medium
"_xD Si  pero parece que las personas de facebook no estan de acuerdo  (that was probably all wrong, but I tried...)",negative,night,70-100,440.0,NA,Medium,Low
Thinks that my friends lifes go around with what they boyfriends do and then they have not time for us girls,negative,noon,21-30,28470.0,AS,Medium,Medium
"I hate exam time. I want my life back  Also I want the ability to revise back - if I ever had that ability, that is.",negative,night,31-45,7682300.0,OC,Low,Medium
 sti`s doin` just fine  how bout you?,positive,noon,60-70,82658.0,AS,Medium,Medium
Because I love my job,positive,night,70-100,10010.0,NA,Low,Low
" I wake up at 4:30 during the week - and funny, Deathcab makes me think of you!  (& I use your calendar to track work hours)",positive,noon,21-30,130170.0,AS,High,High
Proof of heat  good day wish I hadn`t spent most of it in bed  http://twitpic.com/670tp,positive,noon,60-70,30280.0,EU,Medium,Medium
"Wicked, my DVB-S tuner card has arrived. Although not sure I`ll be able to get it all set up ready for the FA Cup final tomorrow",negative,night,70-100,22810.0,NA,Low,Low
The NVIDIA ION-based Lenovo IdeaPad S12 (  http://is.gd/J6Zy ) is awesome.  Fn key to left of Ctrl makes it non-starter for me though,positive,morning,0-20,112760.0,AF,Medium,Medium
WH Correspondant`s Dinner Rocked! Wanda Sykes was hilarious and Obama wasn`t too bad  Happy Mother`s Day to all the mom`s out there......,positive,noon,21-30,38100.0,AS,Low,Low
It`s not now... Nor has it ever been Weigly North!! Have avoid drive home!!,negative,night,31-45,1083300.0,SA,Low,Medium
" http://twitpic.com/64g3b - i think so ! well,u`re lucky",positive,morning,46-60,51000.0,EU,Low,Medium
"_1999  ohh, that is so cute, fishing is so peaceful!  your daughter looks so focus in what she is doing",positive,night,70-100,8358140.0,SA,Low,High
"_Punk_Robot  wtf.....winter isn`t due til monday, am freezing",negative,morning,0-20,5270.0,AS,Low,Low
 shld says.. great phone,positive,morning,46-60,25680.0,AF,Medium,Medium
ItS fRiDaY... I cAn`T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,negative,night,70-100,4030.0,AF,Medium,Low
" uff, ble litt trist av Ã¯Â¿Â½ lese den siste tweetsen din  the challenge prooved too be tough!! :`(",negative,noon,21-30,472710.0,AF,Low,Medium
ugly girls always insist on making ugly faces!  ugh!,negative,night,70-100,743532.0,SA,Low,Medium
good morning tweets,positive,night,31-45,1861.0,AF,Medium,Low
 sorry to disappoint.,negative,night,70-100,55960.0,EU,Low,Medium
I am so jelz. I want a house. >,negative,morning,0-20,106440.0,NA,Medium,Medium
is really ultra bored,negative,noon,21-30,9240.0,AS,Medium,Medium
 Hmm.  My VPN works fine.    (Oh.. wait.. I don`t need VPN anymore.) http://tinyurl.com/cao6tu,positive,night,31-45,77240.0,Other,Medium,Medium
Watching loudQUIETloud documentary about the ever awesome Pixies. Realised Joey Santiago and David Lovering are Twitterers. Fantastic,positive,night,70-100,23180.0,AF,Low,Low
Dane Cook is at the sports arena tonight. Wish I had tickets,positive,night,31-45,248360.0,SA,Low,Medium
Today is 777 days until LeakyCon 2011. Awesome number but I wish it wasn`t so far away,positive,morning,46-60,995450.0,AF,Medium,High
 Thanks for the tip on otherinbox...  It won`t work with outlook for me...,positive,noon,60-70,20720.0,NA,Medium,Medium
grrh  wii remote dead.. no multiplayer here tonight,negative,night,31-45,17200.0,Other,Low,Medium
"I need to change my ways, instead of just being weak. I love  she`s a great role model",positive,morning,46-60,1000000.0,AF,Medium,High
I just told the people that matters the most to me to just leave me alone... I **** up again.,negative,noon,60-70,18270.0,OC,Low,Low
"i`m going to sleepies, feel poorlies and pissed off  night night tweeples ****",negative,night,70-100,304000.0,EU,Low,Medium
going to see star trak expecting noting but amazing,positive,morning,0-20,547557.0,EU,Medium,Medium
headache,negative,noon,21-30,257670.0,AF,Low,Medium
 Thx 4 sharing!,positive,night,31-45,10120.0,AF,Medium,Medium
" - Love your desserts. Used to live in OR but now live in TX, so can`t visit you.",positive,morning,46-60,69490.0,AS,Low,Medium
I love my big brother very much.,positive,noon,60-70,348560.0,EU,Medium,Medium
oh when will #gfail end? been on HTML version all day,negative,morning,0-20,128900.0,EU,Low,Medium
Chicken beer and good company makes a good night...,positive,night,31-45,107160.0,NA,Medium,Medium
I am sooooooo bored in textiles !,negative,morning,46-60,246000.0,AF,Low,Medium
I hve a fat kink in my neck  maybe someone handsome will massage it out later?  we`ll see!,positive,noon,60-70,28120.0,AF,Low,Medium
just got back from six flags  wicked fun. even tho i almost died!,negative,morning,0-20,27560.0,NA,Medium,Medium
likes the reports from testers of his new package for Synology diskstations  http://plurk.com/p/ror5d,positive,night,31-45,111890.0,NA,Low,Medium
...I need a huge favor of love. Anticipate texts from me,positive,morning,46-60,90530.0,EU,Medium,Medium
 haha  I need to get in better shape first.. I have cageball on thursdays == me dead on sofa the whole evening,negative,morning,0-20,1811570.0,AS,Medium,High
Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day,positive,noon,21-30,1630000.0,AS,Low,Medium
Staff meeting today with JoeMo...it just won`t be the same! Travel safely ...we`ll see you tomorrow!,positive,night,31-45,434320.0,AS,Low,Medium
Well that was a fun evening,positive,noon,60-70,21640.0,AS,Medium,Medium
 Thats nice. My cousin just left my house. He has daughter`s their all daddy`s girls. So sweet,positive,noon,21-30,364555.0,AS,Medium,High
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",positive,night,31-45,88780.0,AS,Medium,Medium
Good! luck you! I want new shoes  Ly x,positive,noon,60-70,569140.0,AF,Low,Medium
sad that she didn`t get to see Rica before she leaves later today..,negative,night,70-100,810.0,OC,Medium,Low
" nothing much, juss really bored! hbu?",negative,noon,21-30,191800.0,AS,Low,Medium
 try being my height in small cars  not much fun specially on bumbpy country roads! haha,negative,night,31-45,230800.0,AS,Low,Medium
